segment_id,COMET,chrF++,is_bad_source,src_length,length_group_2,length_group_3
0,0.4755949079990387,25.437341469131837,True,3,short,short
1,0.4360867142677307,13.883879202101424,False,9,short,short
2,0.5276026129722595,26.109178110877124,False,29,short,medium
3,0.3910669684410095,18.92805687951786,False,66,long,long
4,0.4512556493282318,8.778293275410736,False,126,long,long
5,0.483912318944931,28.24749432097088,False,16,short,medium
6,0.1222662329673767,0.0,False,9,short,short
7,0.3970830142498016,1.55651712613899,False,107,long,long
8,0.3108815252780914,9.34224654157109,False,88,long,long
9,0.4013100862503052,16.50667310011129,False,77,long,long
10,0.4912345707416534,31.73312172450917,False,28,short,medium
11,0.4644851386547088,11.017493369430497,False,6,short,short
12,0.4426377117633819,23.01085878815204,False,31,short,medium
13,0.2658635675907135,5.900168315806714,False,46,long,long
14,0.3607955873012543,12.53768491355138,False,59,long,long
15,0.2923488914966583,11.619018112141342,False,88,long,long
16,0.2427779883146286,4.203607086389926,False,54,long,long
17,0.3448647856712341,16.288517499614212,False,60,long,long
18,0.2750901281833648,11.398474516613796,False,64,long,long
19,0.3008649051189422,2.32678072197591,False,8,short,short
20,0.2998975813388824,10.052909224847516,False,9,short,short
21,0.3005411326885223,9.958987871310118,False,93,long,long
22,0.2771138846874237,14.855777944339726,False,79,long,long
23,0.3561815023422241,9.80254690344748,False,116,long,long
24,0.3197253048419952,14.73978391860921,False,70,long,long
25,0.3118084669113159,10.77722907854024,False,124,long,long
26,0.3313611447811126,4.395113230035757,False,8,short,short
27,0.3235411942005157,12.570115177727764,False,43,long,long
28,0.3102845251560211,10.431306528265452,False,43,long,long
29,0.3768978714942932,16.03832674389106,False,38,long,long
30,0.371708333492279,21.08954792509375,False,43,long,long
31,0.3428070247173309,20.036414564721916,False,75,long,long
32,0.3275513350963592,12.743994182509846,False,53,long,long
33,0.4217442274093628,21.14112980409136,False,53,long,long
34,0.3838444948196411,17.94492544352541,False,48,long,long
35,0.3788296282291412,14.883317326889824,False,48,long,long
36,0.3538549542427063,15.580510745724808,False,51,long,long
37,0.4354768097400665,19.539066700007897,False,50,long,long
38,0.3509619534015655,8.584530701295405,False,52,long,long
39,0.282545804977417,4.261702700520079,False,10,short,short
40,0.3380604982376098,14.295144322423395,False,73,long,long
41,0.2726566195487976,1.2050213452545009,False,152,long,long
42,0.3438579738140106,11.915502506629164,False,96,long,long
43,0.3847449719905853,9.779511685088869,False,8,short,short
44,0.3687610924243927,19.57114207581619,False,42,long,long
45,0.4252245724201202,10.258892093192234,False,59,long,long
46,0.3974811732769012,18.13133051458377,False,78,long,long
47,0.3639021217823028,17.344110714018175,False,72,long,long
48,0.3679329752922058,18.2405322082691,False,37,long,medium
49,0.4066849648952484,12.27602381445426,False,43,long,long
50,0.3133153319358825,28.129033304847677,False,37,long,medium
51,0.360670804977417,15.139156340995385,False,67,long,long
52,0.3646376430988312,6.037092981354322,False,73,long,long
53,0.4109564423561096,10.736506469425324,False,56,long,long
54,0.3442821800708771,13.609102397042175,False,49,long,long
55,0.2366928607225418,6.413082884309174,False,80,long,long
56,0.3693054616451263,11.926115251541583,False,59,long,long
57,0.4083620905876159,11.218193415445429,False,10,short,short
58,0.3383927047252655,14.164023241932233,False,32,short,medium
59,0.3246834576129913,8.382140090752218,False,29,short,medium
60,0.0924655199050903,0.0526759376316898,False,48,long,long
61,0.6241191029548645,27.31043346345528,False,29,short,medium
62,0.2644629776477813,1.4344868957877086,False,73,long,long
63,0.3531851470470428,14.47835592965764,False,49,long,long
64,0.5021052956581116,14.90013558234675,False,35,long,medium
65,0.3184598088264465,11.043254703215224,False,71,long,long
66,0.297622799873352,8.726714782448058,False,7,short,short
67,0.3497357070446014,25.247587333114215,False,40,long,long
68,0.3934861719608307,15.275039843788637,False,70,long,long
69,0.1042263209819793,0.119047619047619,False,16,short,medium
70,0.2928778231143951,5.076530725233853,False,15,short,medium
71,0.3825647532939911,26.02839579867398,False,39,long,long
72,0.4097762405872345,18.43037380615564,False,72,long,long
73,0.3506492674350738,17.8331950790117,False,64,long,long
74,0.3614955544471741,10.287292376391724,False,96,long,long
75,0.3533829152584076,13.13023944114708,False,49,long,long
76,0.4267496466636657,22.560830753560538,False,37,long,medium
77,0.4053448140621185,15.689376666548382,False,74,long,long
78,0.4560753405094147,34.465208821073865,False,15,short,medium
79,0.4107118546962738,11.61403935992214,False,15,short,medium
80,0.3006539344787597,4.543912339243743,False,54,long,long
81,0.3313202559947967,13.073495919889783,False,73,long,long
82,0.4148752689361572,16.78872420349478,False,64,long,long
83,0.367403119802475,14.215860197486066,False,66,long,long
84,0.2312523275613784,0.5423593015629642,False,45,long,long
85,0.3958971798419952,24.741009511961987,False,49,long,long
86,0.3565188348293304,12.06233444393747,False,12,short,short
87,0.1184813231229782,0.0,False,12,short,short
88,0.4161049425601959,10.059063221116066,False,26,short,medium
89,0.3454698920249939,19.60031673680621,False,68,long,long
90,0.3652661740779876,24.71513581573783,False,72,long,long
91,0.3187290132045746,18.92150074028005,False,91,long,long
92,0.3764860332012176,4.921625294725386,False,34,long,medium
93,0.4015392363071441,23.6426614926943,False,54,long,long
94,0.3750481307506561,10.849346516135476,False,10,short,short
95,0.4275813400745392,12.003433992919316,False,45,long,long
96,0.3891222178936004,10.71376276954972,False,136,long,long
97,0.3362916111946106,12.71159736705101,False,66,long,long
98,0.4377990067005157,12.436786645410097,False,76,long,long
99,0.4353040158748626,34.824149158774865,False,17,short,medium
100,0.3365849554538727,10.447175807332275,False,79,long,long
101,0.3375161290168762,7.523118451664779,False,149,long,long
102,0.3271087110042572,8.38129769544075,False,14,short,medium
103,0.4447500705718994,26.532020691966668,False,18,short,medium
104,0.4347417056560516,13.202334050847398,False,32,short,medium
105,0.3619453907012939,18.066418158406343,False,90,long,long
106,0.5008293390274048,19.38681243955216,False,56,long,long
107,0.3018653690814972,4.688878814668469,False,70,long,long
108,0.3116815984249115,10.568781629265644,False,92,long,long
109,0.290585845708847,9.725150913313724,False,37,long,medium
110,0.3766433894634247,19.138158360325978,False,91,long,long
111,0.3286360204219818,8.475762092397213,False,63,long,long
112,0.4313612282276153,7.482082224416906,False,16,short,medium
113,0.3464154601097107,8.47881891022345,False,15,short,medium
114,0.3125365078449249,12.878673523718836,False,60,long,long
115,0.3647323548793793,12.686097981332567,False,79,long,long
116,0.4157703220844269,34.68363606731663,False,46,long,long
117,0.3168799579143524,8.464209875558373,False,61,long,long
118,0.3959927260875702,21.7993009225607,False,55,long,long
119,0.3393779695034027,15.062677539615802,False,57,long,long
120,0.3298296332359314,3.3544616875905557,False,10,short,short
121,0.3803412616252899,17.19750311952151,False,74,long,long
122,0.4309982359409332,24.36417113975837,False,52,long,long
123,0.3942898511886596,15.824456106346709,False,54,long,long
124,0.3815234899520874,12.28600173094258,False,85,long,long
125,0.4182458817958832,13.455574645466296,False,42,long,long
126,0.3960878551006317,5.2676819465363245,False,66,long,long
127,0.3792895972728729,16.381230029305367,False,40,long,long
128,0.4405170381069183,13.082957410332131,False,46,long,long
129,0.4305490553379059,15.819208769546922,False,52,long,long
130,0.4401132762432098,8.59355222058297,False,20,short,medium
131,0.4594968557357788,45.488616042097014,False,19,short,medium
132,0.3706750273704529,11.958525791175804,False,12,short,short
133,0.3653532862663269,23.984239609712738,False,75,long,long
134,0.5173217058181763,26.474341359901533,False,68,long,long
135,0.2610258758068084,2.234735680092794,False,57,long,long
136,0.3607096970081329,9.4309089710033,False,106,long,long
