segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.9463028311729432,61.131879712637726,61.47881529512643,True,3,short,short
1,0.8335911631584167,51.386422570636526,11.451997463067553,False,9,short,short
2,0.7729573845863342,51.29240297243567,35.121296399873835,False,29,short,medium
3,0.8066489100456238,52.9940809554152,26.85315273873331,False,66,long,long
4,0.8074951171875,53.867937390896344,28.849529030541166,False,126,long,long
5,0.9465100169181824,90.72886155532215,83.18180062062373,False,16,short,medium
6,0.7296908497810364,34.67476287015887,4.932351569489709,False,9,short,short
7,0.7976313233375549,54.08130470495745,19.8600893742332,False,107,long,long
8,0.8230740427970886,58.476385788192445,28.582729868560502,False,88,long,long
9,0.8393692374229431,51.85810875163109,21.660238943879047,False,77,long,long
10,0.8986247181892395,76.52455563772259,69.4447624231479,False,28,short,medium
11,0.8957083821296692,41.68953995393928,11.737849637633069,False,6,short,short
12,0.9145453572273254,61.06676343203078,29.54986362515527,False,31,short,medium
13,0.9031737446784972,68.34871169750272,35.74792479369811,False,46,long,long
14,0.864994466304779,65.5805506196237,39.4659577518464,False,59,long,long
15,0.8320493102073669,59.809311888305906,32.3653728130707,False,88,long,long
16,0.842658519744873,57.54954633908081,24.82088504053321,False,54,long,long
17,0.8857211470603943,62.93393354149776,37.405641835271666,False,60,long,long
18,0.8057090044021606,58.36369076466069,27.98572207993049,False,64,long,long
19,0.9572572112083436,74.92425515451832,50.000000000000014,False,8,short,short
20,0.8864392042160034,72.74444533204166,70.6703819992939,False,9,short,short
21,0.8451209664344788,72.94416504684845,48.91404429334143,False,93,long,long
22,0.8829874396324158,77.79841525226942,60.50788433011133,False,79,long,long
23,0.8591780066490173,61.40351983007527,31.332934982023808,False,116,long,long
24,0.8154200911521912,60.28676111348435,33.26847054548085,False,70,long,long
25,0.829038679599762,63.84829214306138,31.941747441527305,False,124,long,long
26,0.843652069568634,57.49381056688725,18.36028134946796,False,8,short,short
27,0.8397595882415771,57.54658389498552,23.62700080032879,False,43,long,long
28,0.8120250105857849,62.20587078929175,25.803975322180747,False,43,long,long
29,0.8365799784660339,68.52122808438446,49.57613928659283,False,38,long,long
30,0.8803180456161499,69.22320703343395,42.89806067955391,False,43,long,long
31,0.8432366847991943,72.86383326157693,61.142950801332745,False,75,long,long
32,0.8772346377372742,68.01982358333888,49.53176093887003,False,53,long,long
33,0.8761172294616699,64.12984528391186,45.086632452914685,False,53,long,long
34,0.878088653087616,62.1697387832592,24.95327953261998,False,48,long,long
35,0.9010624885559082,70.6068183023892,45.82937631588375,False,48,long,long
36,0.8520199656486511,59.7757468751219,34.892140878269984,False,51,long,long
37,0.8462889790534973,83.960835362373,70.48795625378854,False,50,long,long
38,0.886339008808136,69.55807553756729,42.26582984378044,False,52,long,long
39,0.7054218649864197,46.407061887598,4.196114906296549,False,10,short,short
40,0.882418692111969,61.23787958264525,29.01604074786635,False,73,long,long
41,0.8258795142173767,52.01367898342531,23.820620657164493,False,152,long,long
42,0.8581506013870239,58.91801507471192,28.4302153498914,False,96,long,long
43,0.8367668986320496,54.40345716146441,23.07712507814924,False,8,short,short
44,0.7700514197349548,56.56859358179954,25.092620846140303,False,42,long,long
45,0.7794007062911987,58.823154860539475,32.06611087231022,False,59,long,long
46,0.7863483428955078,55.26460074484356,27.0605660432595,False,78,long,long
47,0.73481684923172,50.436373422366046,12.564898494722543,False,72,long,long
48,0.8478133082389832,79.36421277047401,49.61475732424197,False,37,long,medium
49,0.8167204260826111,62.162673106176904,43.000508514161915,False,43,long,long
50,0.7941494584083557,57.346101257263896,25.870253316319836,False,37,long,medium
51,0.855709969997406,62.15044677536062,39.707888984933234,False,67,long,long
52,0.7915387749671936,57.353777832101706,26.00378947900915,False,73,long,long
