segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.9766539335250854,100.0,100.00000000000004,True,3,short,short
1,0.301847904920578,6.304588110491011,0.0,False,9,short,short
2,0.6363931894302368,45.34624486704673,19.680162179096047,False,29,short,medium
3,0.3664056062698364,28.131216782101305,19.571200677470703,False,66,long,long
4,0.4953997433185577,7.349197313634288,0.1424081917911811,False,126,long,long
5,0.6342600584030151,53.58505123036994,28.295596283263514,False,16,short,medium
6,0.4016130864620209,11.082124308164756,0.0,False,9,short,short
7,0.2847837209701538,10.059165894444623,0.0,False,107,long,long
8,0.4279033243656158,15.384078396677555,0.0,False,88,long,long
9,0.4415650069713592,16.488182292510313,0.0,False,77,long,long
10,0.5212852954864502,39.818546927163034,27.48906344212513,False,28,short,medium
11,0.4541155099868774,10.35528619857442,0.0,False,6,short,short
12,0.4133012890815735,19.194898245613743,5.693025330278465,False,31,short,medium
13,0.3609899580478668,10.22603417677916,0.0,False,46,long,long
14,0.3879474103450775,12.26318148258388,0.0,False,59,long,long
15,0.2940568625926971,6.206300270131501,0.0,False,88,long,long
16,0.3327576518058777,15.607686454786244,0.0,False,54,long,long
17,0.5424089431762695,2.049657523350661,0.4805514696305381,False,60,long,long
18,0.2723036110401153,3.408892763336977,0.0,False,64,long,long
19,0.7779636383056641,0.0,0.0,False,8,short,short
20,0.353019118309021,14.62178167989767,0.0,False,9,short,short
21,0.3501981794834137,11.019096020884978,0.0,False,93,long,long
22,0.3642089068889618,11.205486310376406,0.0,False,79,long,long
23,0.3241191506385803,10.149443462233547,0.0,False,116,long,long
24,0.4775610268115997,2.7887844780487203,0.5235960936517932,False,70,long,long
25,0.2729862332344055,16.650290213724418,4.698597581597754,False,124,long,long
26,0.538968026638031,0.0,0.0,False,8,short,short
27,0.3439112901687622,19.233142338880366,0.0,False,43,long,long
28,0.5521093010902405,0.0,0.0,False,43,long,long
29,0.3837167918682098,13.778608284242097,6.344849033136086,False,38,long,long
30,0.6072248816490173,4.103522202332146,3.234245292096216,False,43,long,long
31,0.5056719779968262,5.209781913765863,1.2997232922204551,False,75,long,long
32,0.2957405149936676,8.972486690308418,0.0,False,53,long,long
33,0.3563320636749267,37.54667677965665,22.27227312202058,False,53,long,long
34,0.3407220542430877,17.375494644219632,6.178110636313396,False,48,long,long
