segment_id,COMET,chrF++,is_bad_source,src_length,length_group_2,length_group_3
0,0.6573456525802612,31.536956508739287,True,3,short,short
1,0.3939361870288849,17.15590056364759,False,9,short,short
2,0.5071264505386353,31.04424542944165,False,29,short,medium
3,0.3876571357250213,35.74374027185818,False,66,long,long
4,0.3425647914409637,11.62592102511194,False,126,long,long
5,0.5781614780426025,49.30115230914812,False,16,short,medium
6,0.1271274238824844,0.0,False,9,short,short
7,0.2912853360176086,15.519805519694374,False,107,long,long
8,0.318403035402298,14.70387219530069,False,88,long,long
9,0.3003810942173004,21.2670770601182,False,77,long,long
10,0.6582614779472351,47.517279048655,False,28,short,medium
11,0.3278869986534118,15.255956409396484,False,6,short,short
12,0.2367328405380249,14.24468221395907,False,31,short,medium
13,0.3397262692451477,16.255622871294314,False,46,long,long
14,0.2931917905807495,15.308041021194036,False,59,long,long
15,0.2493213713169098,16.28726087685455,False,88,long,long
16,0.302219033241272,11.403251919717569,False,54,long,long
17,0.3018750846385956,19.03700911295804,False,60,long,long
18,0.3312650024890899,18.473940598276897,False,64,long,long
19,0.3089810013771057,13.10530632407971,False,8,short,short
20,0.3124932944774627,16.020296410022247,False,9,short,short
21,0.2729481160640716,16.15210192221198,False,93,long,long
22,0.2678276300430298,15.024947339673494,False,79,long,long
23,0.1992028355598449,9.009082488740638,False,116,long,long
24,0.3295627236366272,24.92766638967969,False,70,long,long
25,0.3490294218063354,27.100064280163632,False,124,long,long
26,0.3809215426445007,18.803795372240835,False,8,short,short
27,0.1959344148635864,13.628426286122137,False,43,long,long
28,0.352684885263443,17.371470599864995,False,43,long,long
29,0.3918065130710602,17.52477456370384,False,38,long,long
30,0.3598411083221435,19.08925970631665,False,43,long,long
31,0.3385945856571197,16.155529970794884,False,75,long,long
32,0.359259694814682,19.20153682236101,False,53,long,long
33,0.336171418428421,27.011715644632517,False,53,long,long
34,0.2532521188259125,11.017215179866431,False,48,long,long
35,0.384717583656311,20.36707164414418,False,48,long,long
36,0.3385542333126068,20.829068808485857,False,51,long,long
37,0.3490239977836609,18.621578781824983,False,50,long,long
38,0.3508729636669159,20.164598552507428,False,52,long,long
39,0.3608373701572418,18.50887383149893,False,10,short,short
40,0.3550823628902435,21.876834546214127,False,73,long,long
41,0.3264801204204559,19.889209397409864,False,152,long,long
42,0.339394748210907,22.856086008667255,False,96,long,long
43,0.3483690917491913,14.752312044729251,False,8,short,short
44,0.3144198358058929,21.078751704518055,False,42,long,long
45,0.408675879240036,23.69124785602296,False,59,long,long
46,0.2529621422290802,14.789456197937398,False,78,long,long
47,0.3494824767112732,21.764337366532935,False,72,long,long
48,0.4172258973121643,30.575495482176436,False,37,long,medium
49,0.3813550174236297,27.02355591064201,False,43,long,long
50,0.389814019203186,32.184033519156856,False,37,long,medium
51,0.3327943384647369,20.80027108483944,False,67,long,long
52,0.3231024146080017,20.967424405566582,False,73,long,long
53,0.3165862262248993,18.79407267101348,False,56,long,long
54,0.4700691103935241,18.36266172238677,False,49,long,long
55,0.2919261157512665,19.865461472667107,False,80,long,long
56,0.369712620973587,20.07749060858292,False,59,long,long
57,0.3664611577987671,20.522956895136105,False,10,short,short
58,0.3547399342060089,19.379217035153136,False,32,short,medium
59,0.4832811653614044,25.05619097668076,False,29,short,medium
60,0.3267373144626617,26.355814989064974,False,48,long,long
61,0.3995453417301178,16.399940581720156,False,29,short,medium
62,0.3422532379627228,16.232958709598172,False,73,long,long
63,0.3497892916202545,19.50762818385823,False,49,long,long
64,0.402934581041336,23.271973917281414,False,35,long,medium
65,0.3557481169700622,16.913245660446243,False,71,long,long
66,0.3522439301013946,13.244027651814594,False,7,short,short
67,0.4166418015956878,23.63470158404451,False,40,long,long
68,0.2427304238080978,11.193074044119594,False,70,long,long
69,0.4766857326030731,23.37254896204673,False,16,short,medium
70,0.4147519171237945,11.370774201080373,False,15,short,medium
71,0.3197696506977081,19.72389790616827,False,39,long,long
72,0.3466881811618805,25.876325641422675,False,72,long,long
73,0.3156307637691498,11.670028997984714,False,64,long,long
74,0.2734304964542389,16.15916882905431,False,96,long,long
75,0.3692472279071808,22.97196488932007,False,49,long,long
76,0.2686411440372467,21.565361635304477,False,37,long,medium
77,0.3016141951084137,24.93779795359313,False,74,long,long
78,0.4359147548675537,13.35638761699192,False,15,short,medium
79,0.356097549200058,15.083877589732566,False,15,short,medium
80,0.3152543902397156,19.329235904249703,False,54,long,long
81,0.3088232278823852,18.61057106117653,False,73,long,long
82,0.3515049815177917,22.481392676961924,False,64,long,long
83,0.4465179145336151,15.687873519153662,False,66,long,long
84,0.2364422231912613,11.47282553650174,False,45,long,long
85,0.3715663254261017,19.133205086274156,False,49,long,long
86,0.3189672231674194,12.09122162038034,False,12,short,short
87,0.1228410452604293,0.0,False,12,short,short
88,0.3585911393165588,19.372526973114628,False,26,short,medium
89,0.3551272451877594,25.70977260374072,False,68,long,long
90,0.4039944410324096,24.24815801522761,False,72,long,long
91,0.4740600883960724,19.31930409664223,False,91,long,long
92,0.4464091956615448,14.636586629991204,False,34,long,medium
93,0.3164855539798736,20.83789466492032,False,54,long,long
94,0.2815420925617218,8.639634881939608,False,10,short,short
95,0.361874371767044,20.59395077226447,False,45,long,long
96,0.4331026673316955,13.104624029417009,False,136,long,long
97,0.3447678387165069,14.200826659323656,False,66,long,long
98,0.3465567827224731,17.017149617841003,False,76,long,long
99,0.3424118459224701,19.435698319156653,False,17,short,medium
100,0.3158696591854095,14.055951894580817,False,79,long,long
101,0.3639294803142547,14.810350545212229,False,149,long,long
102,0.3158526122570038,10.593629651136162,False,14,short,medium
103,0.4287360906600952,16.270108790395504,False,18,short,medium
104,0.3866595029830932,22.583459145465575,False,32,short,medium
105,0.3434730470180511,15.24812147916354,False,90,long,long
106,0.3889857828617096,23.40155756171273,False,56,long,long
107,0.2605575621128082,15.383512020707576,False,70,long,long
108,0.4287909567356109,13.84102479422052,False,92,long,long
109,0.4200670421123504,15.638838249936418,False,37,long,medium
