segment_id,COMET,chrF++,is_bad_source,src_length,length_group_2,length_group_3
0,0.6845073699951172,42.2820878643496,True,3,short,short
1,0.3944812715053558,18.485443231565792,False,9,short,short
2,0.7063531279563904,48.65585176823373,False,29,short,medium
3,0.8201351761817932,49.458638224675454,False,66,long,long
4,0.7614907622337341,52.03899271103257,False,126,long,long
5,0.6364462375640869,52.26872893587428,False,16,short,medium
6,0.6536127924919128,32.06357656732689,False,9,short,short
7,0.7376846671104431,47.40161301966028,False,107,long,long
8,0.7198562622070312,46.651246491411705,False,88,long,long
9,0.6672455668449402,46.955295271363646,False,77,long,long
10,0.8281576037406921,74.52280839828968,False,28,short,medium
11,0.4306271970272064,0.0,False,6,short,short
12,0.841501772403717,61.719150223962885,False,31,short,medium
13,0.8946670889854431,61.33362327997571,False,46,long,long
14,0.7374791502952576,62.17248870855136,False,59,long,long
15,0.794374406337738,55.24733479071783,False,88,long,long
16,0.8523110747337341,56.25968301713458,False,54,long,long
17,0.8504840731620789,58.765894487598125,False,60,long,long
18,0.6954312920570374,53.95623430912928,False,64,long,long
19,0.9100920557975768,45.78991748566047,False,8,short,short
20,0.76472008228302,52.69407372645969,False,9,short,short
21,0.7725021243095398,60.36954054566645,False,93,long,long
22,0.814548671245575,69.30111444676321,False,79,long,long
23,0.572627604007721,20.274110557972705,False,116,long,long
24,0.7582860589027405,54.34560025235855,False,70,long,long
25,0.7857034802436829,55.613644161779554,False,124,long,long
26,0.5501911640167236,25.75642895693041,False,8,short,short
27,0.6667764186859131,38.0824506723836,False,43,long,long
28,0.7179902195930481,53.63793948954435,False,43,long,long
29,0.7527611255645752,55.31819852172145,False,38,long,long
30,0.5695894956588745,53.269514630865366,False,43,long,long
31,0.6446353793144226,55.083705157027985,False,75,long,long
32,0.7675917744636536,58.470840109658305,False,53,long,long
33,0.8552358150482178,59.01584656999932,False,53,long,long
34,0.8097385764122009,49.54453073589675,False,48,long,long
35,0.5902091860771179,20.346367270224818,False,48,long,long
36,0.7981712818145752,58.167557863416675,False,51,long,long
37,0.5640988945960999,67.10259402485171,False,50,long,long
38,0.5506379008293152,20.336781420831347,False,52,long,long
39,0.3396424353122711,24.71212386473662,False,10,short,short
40,0.7755268216133118,53.53660479055276,False,73,long,long
41,0.7156635522842407,45.44413889132278,False,152,long,long
42,0.8115565180778503,50.08790201109262,False,96,long,long
43,0.7601132988929749,32.787972770905064,False,8,short,short
44,0.6208258271217346,41.695388553395205,False,42,long,long
45,0.4760969579219818,44.95385954219609,False,59,long,long
46,0.7122588753700256,50.69321141733045,False,78,long,long
47,0.4512295722961426,40.44217591853238,False,72,long,long
48,0.8188537955284119,72.24525884816744,False,37,long,medium
49,0.5433156490325928,39.69555879769637,False,43,long,long
50,0.7680273652076721,53.44828768535476,False,37,long,medium
51,0.751876175403595,53.6104824095419,False,67,long,long
52,0.7475515007972717,54.09058281605421,False,73,long,long
53,0.8036713004112244,50.91932161972302,False,56,long,long
54,0.420400470495224,38.93392451129426,False,49,long,long
55,0.7014990448951721,46.24601771399374,False,80,long,long
56,0.4596402049064636,37.58376497078952,False,59,long,long
57,0.6248902082443237,39.54765445376127,False,10,short,short
58,0.5476762056350708,28.486408048504487,False,32,short,medium
59,0.8438227772712708,64.26096231223194,False,29,short,medium
60,0.5086207389831543,39.98067969375814,False,48,long,long
61,0.8111809492111206,52.54908332498963,False,29,short,medium
62,0.7670556306838989,44.04724507954453,False,73,long,long
63,0.6007721424102783,25.019346286531352,False,49,long,long
64,0.724642813205719,58.3264926975302,False,35,long,medium
65,0.8213935494422913,62.40450277497286,False,71,long,long
66,0.4274335205554962,37.09926482431274,False,7,short,short
67,0.6953931450843811,62.61303679783268,False,40,long,long
68,0.6649118065834045,60.76009642338385,False,70,long,long
69,0.5208224654197693,37.00187918081506,False,16,short,medium
70,0.4322874248027801,49.800984022060845,False,15,short,medium
71,0.7333160638809204,53.8305881784604,False,39,long,long
72,0.6769307255744934,27.13274593356702,False,72,long,long
73,0.8549544215202332,55.56547445590174,False,64,long,long
74,0.8642931580543518,63.2179842677854,False,96,long,long
75,0.4094328582286834,31.761607093276613,False,49,long,long
76,0.4401093125343323,18.61797631153353,False,37,long,medium
77,0.769636332988739,62.04016792460544,False,74,long,long
78,0.8793528079986572,49.147822977444086,False,15,short,medium
79,0.4074320793151855,46.45646734001189,False,15,short,medium
80,0.6829362511634827,56.50254750788144,False,54,long,long
