segment_id,COMET,chrF++,is_bad_source,src_length,length_group_2,length_group_3
0,0.6919022798538208,26.75269680726229,True,3,short,short
1,0.3915741145610809,7.889377580492694,False,9,short,short
2,0.4924791753292084,33.07226337252367,False,29,short,medium
3,0.3622682392597198,35.989051860544265,False,66,long,long
4,0.3211514055728912,12.54405927765984,False,126,long,long
5,0.6044132113456726,51.51958133081701,False,16,short,medium
6,0.1271274238824844,0.0,False,9,short,short
7,0.3190040290355682,16.73759928620546,False,107,long,long
8,0.369014710187912,18.588868285712948,False,88,long,long
9,0.3333632946014404,18.59508270485338,False,77,long,long
10,0.5353201031684875,41.109829034416734,False,28,short,medium
11,0.3773409724235534,17.66967083274786,False,6,short,short
12,0.1833133101463318,15.536650807631784,False,31,short,medium
13,0.287623256444931,14.42564780606374,False,46,long,long
14,0.3843274414539337,19.862716955495564,False,59,long,long
15,0.2665322124958038,11.388742481188212,False,88,long,long
16,0.5828209519386292,21.446937197322555,False,54,long,long
17,0.2970948815345764,17.324838161221663,False,60,long,long
18,0.2826088964939117,12.406018894017544,False,64,long,long
19,0.3630162179470062,12.55898679430856,False,8,short,short
20,0.3953050673007965,16.91607648044718,False,9,short,short
21,0.4385000765323639,15.692534422010088,False,93,long,long
22,0.2891345918178558,18.57725608168986,False,79,long,long
23,0.2333399057388305,14.546117187977378,False,116,long,long
24,0.2698488533496856,20.728777915958577,False,70,long,long
25,0.3533690273761749,26.028310009524496,False,124,long,long
26,0.4064397513866424,17.5616818886958,False,8,short,short
27,0.322893887758255,17.620465291601345,False,43,long,long
28,0.3517287373542785,12.219408211736829,False,43,long,long
29,0.4172268211841583,20.636606946703303,False,38,long,long
30,0.3825593590736389,19.58887650442653,False,43,long,long
31,0.3340619504451751,18.465284367585465,False,75,long,long
32,0.3619120717048645,19.386857814416015,False,53,long,long
33,0.5210712552070618,23.966396983251578,False,53,long,long
34,0.3324699103832245,21.20278864637294,False,48,long,long
35,0.3642059862613678,23.41768772383658,False,48,long,long
36,0.3014078140258789,17.59203953536642,False,51,long,long
37,0.3721263110637665,25.463433860262068,False,50,long,long
38,0.2862164080142975,10.17723745573533,False,52,long,long
39,0.3462303578853607,11.173524393427687,False,10,short,short
40,0.3120928704738617,19.19935325683262,False,73,long,long
41,0.3336935937404632,17.190785992340373,False,152,long,long
42,0.3489468395709991,13.084394157548267,False,96,long,long
43,0.3063320815563202,14.193826256346703,False,8,short,short
44,0.2564651072025299,14.246088166362007,False,42,long,long
45,0.3608199059963226,19.47928992999718,False,59,long,long
46,0.312863677740097,18.242248937091823,False,78,long,long
47,0.3669674098491668,18.585078049663313,False,72,long,long
48,0.4218726754188537,33.58895999953154,False,37,long,medium
49,0.3463818728923797,30.026356067609573,False,43,long,long
50,0.3790691792964935,30.614154014867463,False,37,long,medium
51,0.3112945258617401,18.029820291776048,False,67,long,long
52,0.323454886674881,25.5041048305698,False,73,long,long
53,0.3249769210815429,17.709324965404935,False,56,long,long
54,0.445455938577652,18.489937288430905,False,49,long,long
55,0.2060272991657257,9.317758308233437,False,80,long,long
56,0.3562855720520019,24.22760702152641,False,59,long,long
57,0.4030029475688934,15.807179460558755,False,10,short,short
58,0.3739977777004242,19.935483762347452,False,32,short,medium
59,0.399004191160202,26.939085541043696,False,29,short,medium
60,0.3670024871826172,29.895731012674776,False,48,long,long
61,0.4150262475013733,20.43599996586475,False,29,short,medium
62,0.3023541867733001,12.629862936719768,False,73,long,long
63,0.4080201685428619,22.46915455678648,False,49,long,long
64,0.3677923679351806,21.43588868101584,False,35,long,medium
65,0.3173495829105377,12.35193493950888,False,71,long,long
66,0.3006768822669983,10.455805260872085,False,7,short,short
67,0.2695938646793365,19.930343126378727,False,40,long,long
68,0.4455045163631439,18.24278698626669,False,70,long,long
69,0.1222302317619323,0.1116071428571428,False,16,short,medium
70,0.1466510444879531,0.0,False,15,short,medium
71,0.3795825839042663,19.110742150926416,False,39,long,long
72,0.3776386678218841,28.823096153137428,False,72,long,long
73,0.41928631067276,16.74760300556987,False,64,long,long
74,0.318061500787735,17.98963545054821,False,96,long,long
75,0.4467121660709381,16.07358136498661,False,49,long,long
76,0.3704553246498108,24.67353894557972,False,37,long,medium
77,0.3383125960826874,21.185223612226284,False,74,long,long
78,0.2473164796829223,5.735186887575091,False,15,short,medium
79,0.1417544186115265,0.0,False,15,short,medium
80,0.3578858077526092,26.219200501599005,False,54,long,long
81,0.3584636747837066,21.71235368142733,False,73,long,long
82,0.2709205448627472,13.393948111435714,False,64,long,long
83,0.2159918546676635,7.304205242460816,False,66,long,long
84,0.3274008333683014,22.09501187107271,False,45,long,long
85,0.3463903665542602,16.786400397634633,False,49,long,long
86,0.4048976600170135,21.017987759550984,False,12,short,short
87,0.4275853931903839,14.576060429813564,False,12,short,short
88,0.390850156545639,10.621800712624855,False,26,short,medium
89,0.3492473661899566,21.375371425117365,False,68,long,long
90,0.2775422632694244,15.37623564478995,False,72,long,long
91,0.4741187691688537,19.42006766166186,False,91,long,long
92,0.3448290526866913,18.25842645482841,False,34,long,medium
93,0.3215934932231903,16.5274246647822,False,54,long,long
94,0.2301864326000213,5.397032545102872,False,10,short,short
95,0.3368728458881378,19.24066667572786,False,45,long,long
96,0.3046756684780121,2.555018177479999,False,136,long,long
97,0.2893503606319427,11.890964326135595,False,66,long,long
98,0.357597142457962,18.632408229429835,False,76,long,long
99,0.3544350266456604,10.376801984508123,False,17,short,medium
100,0.334688663482666,18.16094357413479,False,79,long,long
101,0.2414739727973938,10.528519053189662,False,149,long,long
102,0.3315880000591278,11.041003163979957,False,14,short,medium
103,0.4238509237766266,21.231445383335696,False,18,short,medium
104,0.2333880364894867,6.8840038710408695,False,32,short,medium
105,0.3127255737781524,21.072478443319117,False,90,long,long
106,0.4911827743053436,17.746435944201707,False,56,long,long
107,0.3337288796901703,20.842809929899172,False,70,long,long
108,0.384732574224472,16.277433673436636,False,92,long,long
109,0.3596945703029632,14.631127294879182,False,37,long,medium
110,0.3845110833644867,27.721831889026344,False,91,long,long
111,0.3255817592144012,16.776719907256993,False,63,long,long
112,0.3877965807914734,19.21837452670164,False,16,short,medium
113,0.3812173902988434,10.861691625101589,False,15,short,medium
114,0.3149009346961975,19.208092829646624,False,60,long,long
115,0.3416976630687713,23.14034396397453,False,79,long,long
116,0.3699031770229339,27.69581989393543,False,46,long,long
117,0.3518513739109039,12.070316981671915,False,61,long,long
118,0.5041317939758301,22.57074373587852,False,55,long,long
119,0.3228409588336944,20.679902309276336,False,57,long,long
120,0.4266459047794342,12.864573978127533,False,10,short,short
121,0.291854053735733,16.29487230205055,False,74,long,long
122,0.3095109164714813,17.492567032560753,False,52,long,long
123,0.2807885706424713,19.75037157440315,False,54,long,long
124,0.4143793880939483,18.939609079506464,False,85,long,long
125,0.4720580577850342,13.696247651414062,False,42,long,long
126,0.276064783334732,14.629913618609368,False,66,long,long
127,0.3389619290828705,17.073853597163872,False,40,long,long
128,0.2979588806629181,16.62668279911938,False,46,long,long
129,0.3201543390750885,11.648859138198944,False,52,long,long
130,0.4205923974514007,26.79766658355797,False,20,short,medium
131,0.441334992647171,27.369238548445928,False,19,short,medium
132,0.378585010766983,23.648565904404357,False,12,short,short
133,0.3081174790859222,15.978974014521883,False,75,long,long
134,0.4894291162490845,20.50023217547144,False,68,long,long
135,0.3267750442028045,11.359651237497006,False,57,long,long
136,0.50727778673172,20.67108839307366,False,106,long,long
137,0.2750575542449951,10.56212450035722,False,100,long,long
138,0.2666980028152466,11.851035416043889,False,50,long,long
139,0.3059501945972442,20.460838001693823,False,61,long,long
140,0.2874659299850464,13.09949910225946,False,56,long,long
141,0.4917031526565552,14.924510790872066,False,51,long,long
142,0.1321040391921997,0.0,False,11,short,short
143,0.4033267498016357,22.62570485060034,False,74,long,long
144,0.4078421294689178,24.25474499863316,False,53,long,long
145,0.2886957824230194,12.785745060462803,False,111,long,long
146,0.3702650070190429,22.58229763115602,False,99,long,long
147,0.1249088048934936,0.0,False,27,short,medium
148,0.3602420389652252,24.70113901103906,False,44,long,long
149,0.3538660109043121,19.369141418928777,False,46,long,long
150,0.3630775809288025,18.96999234705983,False,44,long,long
151,0.3591167330741882,16.63294535865892,False,59,long,long
152,0.3964100778102875,21.825040020185156,False,71,long,long
153,0.5041995644569397,18.730868961206816,False,44,long,long
154,0.3685742616653442,13.51199882729254,False,79,long,long
155,0.3601895868778229,16.351494610478703,False,19,short,medium
156,0.4170509278774261,15.566803071867785,False,15,short,medium
157,0.3541522324085235,16.86896672864885,False,20,short,medium
158,0.4105080068111419,14.486818532122786,False,20,short,medium
159,0.4393651187419891,13.758730667395062,False,7,short,short
160,0.4450340569019317,9.756932137872983,False,2,short,short
161,0.4259286224842071,8.849676578226571,False,5,short,short
162,0.343294620513916,6.778593082482291,False,3,short,short
163,0.3381307423114776,6.384013790318438,False,4,short,short
164,0.4526478350162506,15.905525077586036,False,4,short,short
165,0.3940733671188354,14.169583677374394,False,13,short,medium
166,0.3741077482700348,13.503399900647036,False,9,short,short
167,0.4084950983524322,13.86593827851178,True,5,short,short
168,0.4339379072189331,5.281784455361952,False,6,short,short
169,0.4068775773048401,7.262454593005371,False,5,short,short
170,0.4394208192825317,22.754558570212534,False,20,short,medium
171,0.3773084580898285,20.08097057977924,False,24,short,medium
172,0.3494484424591064,14.175646932605002,False,17,short,medium
173,0.4504443705081939,22.157000443281607,False,39,long,long
174,0.4024604856967926,18.99439966782124,False,25,short,medium
175,0.5277047157287598,25.86228247782222,False,11,short,short
176,0.5015592575073242,9.02203326801887,False,9,short,short
177,0.6421329379081726,38.07752100966971,False,14,short,medium
178,0.5352896451950073,19.682168197086796,False,16,short,medium
179,0.5030465722084045,22.5091103211349,False,30,short,medium
180,0.4502660930156708,14.005707802582412,False,16,short,medium
181,0.38887420296669,14.811996939728584,False,27,short,medium
182,0.3796906173229217,17.372954037526643,False,53,long,long
183,0.4547652304172516,4.419191919191919,False,5,short,short
184,0.3378322422504425,12.55728612688774,False,80,long,long
185,0.3703718185424804,19.04746233629888,False,77,long,long
186,0.3784477114677429,17.301072364342453,False,95,long,long
187,0.3661407828330993,23.432484773289985,False,79,long,long
188,0.1285796016454696,0.0,False,11,short,short
189,0.4437786042690277,0.0,False,2,short,short
190,0.381397932767868,19.315186060251076,False,27,short,medium
191,0.4980250298976898,20.94750091236306,False,20,short,medium
192,0.3857684433460235,18.52109110157415,False,20,short,medium
193,0.3555728495121002,9.07757824652338,False,22,short,medium
